# t[Gyr], SFR_thin.d/<SFR_thin.d>
7.012500000000001954e+00 9.488350393065543287e-01
7.037500000000001421e+00 9.451307663484963539e-01
7.062500000000001776e+00 9.414395716404337922e-01
7.087500000000001243e+00 9.377614755436751715e-01
7.112500000000001599e+00 9.340964971618005430e-01
7.137500000000001954e+00 9.304446544467165348e-01
7.162500000000001421e+00 9.268059643143592430e-01
7.187500000000001776e+00 9.231804427715010197e-01
7.212500000000001243e+00 9.195681050552920732e-01
7.237500000000001599e+00 9.159689657873676394e-01
7.262500000000001954e+00 9.123830391445429955e-01
7.287500000000001421e+00 9.088103390483672772e-01
7.312500000000001776e+00 9.052508793760385419e-01
7.337500000000001243e+00 9.017046741954481970e-01
7.362500000000001599e+00 8.981717380274295559e-01
7.387500000000001954e+00 8.946520861385678369e-01
7.412500000000001421e+00 8.911457348682766400e-01
7.437500000000001776e+00 8.876527019941993224e-01
7.462500000000001243e+00 8.841730071403395286e-01
7.487500000000001599e+00 8.807066722327616670e-01
7.512500000000001954e+00 8.772537220080617315e-01
7.537500000000001421e+00 8.738141845802759322e-01
7.562500000000001776e+00 8.703880920723170433e-01
7.587500000000001243e+00 8.669754813184802344e-01
7.612500000000001599e+00 8.635763946450422113e-01
7.637500000000001954e+00 8.601908807364104792e-01
7.662500000000001421e+00 8.568189955947758119e-01
7.687500000000001776e+00 8.534608036016630983e-01
7.712500000000001243e+00 8.501163786902127262e-01
7.737500000000001599e+00 8.467858056374683029e-01
7.762500000000001954e+00 8.434691814863098935e-01
7.787500000000001421e+00 8.401666171070414357e-01
7.812500000000001776e+00 8.368782389089324258e-01
7.837500000000002132e+00 8.336041907122390127e-01
7.862500000000001599e+00 8.303446357914046061e-01
7.887500000000001954e+00 8.270997591001731930e-01
7.912500000000001421e+00 8.238697696893383382e-01
7.937500000000001776e+00 8.206549033276516747e-01
7.962500000000002132e+00 8.174554253361202560e-01
7.987500000000001599e+00 8.142716336454518533e-01
8.012500000000001066e+00 8.111038620857355941e-01
8.037500000000001421e+00 8.079524839166303263e-01
8.062500000000000000e+00 8.048179156052380767e-01
8.087500000000000355e+00 8.017006208575374604e-01
8.112500000000000711e+00 7.986011149077094640e-01
8.137500000000001066e+00 7.955199690678295132e-01
8.162500000000001421e+00 7.924578155382708822e-01
8.187500000000000000e+00 7.894153524767432151e-01
8.212500000000000355e+00 7.863933493210879533e-01
8.237500000000000711e+00 7.833926523578979007e-01
8.262500000000001066e+00 7.804141905255488343e-01
8.287500000000001421e+00 7.774589814364382123e-01
8.312500000000001776e+00 7.745281375991143191e-01
8.337500000000000355e+00 7.716228728164260531e-01
8.362500000000000711e+00 7.687445087310446068e-01
8.387500000000001066e+00 7.658944814845081162e-01
8.412500000000001421e+00 7.630743484504804997e-01
8.437500000000001776e+00 7.602857949971799645e-01
8.462500000000000355e+00 7.575306412279114721e-01
8.487500000000000711e+00 7.548108486424676133e-01
8.512500000000001066e+00 7.521285266557884430e-01
8.537500000000001421e+00 7.494859389038230901e-01
8.562500000000001776e+00 7.468855092600833467e-01
8.587500000000000355e+00 7.443298274799010628e-01
8.612500000000000711e+00 7.418216543831460674e-01
8.637500000000001066e+00 7.393639264800505595e-01
8.662500000000001421e+00 7.369597599390176335e-01
8.687500000000001776e+00 7.346124537899930695e-01
8.712500000000000355e+00 7.323254922521360566e-01
8.737500000000000711e+00 7.301025460704320125e-01
8.762500000000001066e+00 7.279474727425083724e-01
8.787500000000001421e+00 7.258643155144768322e-01
8.812500000000001776e+00 7.238573010232339788e-01
8.837500000000000355e+00 7.219308354623691359e-01
8.862500000000000711e+00 7.200894991499223741e-01
8.887500000000001066e+00 7.183380393786511497e-01
8.912500000000001421e+00 7.166813614334702764e-01
8.937500000000001776e+00 7.151245176663482139e-01
8.962500000000000355e+00 7.136726945262727995e-01
8.987500000000000711e+00 7.123311974510836420e-01
9.012500000000001066e+00 7.111054335389844772e-01
9.037500000000001421e+00 7.100008919305089705e-01
9.062500000000001776e+00 7.090231218466513941e-01
9.087500000000000355e+00 7.081777082456913730e-01
9.112500000000000711e+00 7.074702450800888220e-01
9.137500000000001066e+00 7.069063061554522465e-01
9.162500000000001421e+00 7.064914136160820313e-01
9.187500000000001776e+00 7.062310041057460186e-01
9.212500000000000355e+00 7.061303926780259088e-01
9.237500000000000711e+00 7.061947345576747859e-01
9.262500000000001066e+00 7.064289848826222906e-01
9.287500000000001421e+00 7.068378565854170903e-01
9.312500000000001776e+00 7.074257766026990080e-01
9.337500000000000355e+00 7.081968406313788877e-01
9.362500000000000711e+00 7.091547666803849070e-01
9.387500000000001066e+00 7.103028476965720373e-01
9.412500000000001421e+00 7.116439035724604345e-01
9.437500000000001776e+00 7.131802328714083039e-01
9.462500000000000355e+00 7.149135646321523874e-01
9.487500000000000711e+00 7.168450106391290877e-01
9.512500000000001066e+00 7.189750185669583349e-01
9.537500000000001421e+00 7.213033264267101341e-01
9.562500000000001776e+00 7.238289187575687178e-01
9.587500000000000355e+00 7.265499850198192666e-01
9.612500000000000711e+00 7.294638806534842201e-01
9.637500000000001066e+00 7.325670912708818205e-01
9.662500000000001421e+00 7.358552004507170619e-01
9.687500000000001776e+00 7.393228615957028182e-01
9.712500000000000355e+00 7.429637743048818077e-01
9.737500000000000711e+00 7.467706656957430189e-01
9.762500000000001066e+00 7.507352770896106309e-01
9.787500000000001421e+00 7.548483564467525220e-01
9.812500000000001776e+00 7.590996569051428056e-01
9.837500000000000355e+00 7.634779417388990463e-01
9.862500000000000711e+00 7.679709960093928922e-01
9.887500000000001066e+00 7.725656451339850683e-01
9.912500000000001421e+00 7.772477805447380872e-01
9.937500000000001776e+00 7.820023925526354835e-01
9.962500000000000355e+00 7.868136104722499580e-01
9.987500000000000711e+00 7.916647499980836722e-01
1.001250000000000107e+01 7.965383677574394694e-01
1.003750000000000142e+01 8.014163228964702457e-01
1.006250000000000178e+01 8.062798454866054731e-01
1.008750000000000213e+01 8.111096114686997538e-01
1.011250000000000071e+01 8.158858237827880666e-01
1.013750000000000107e+01 8.205882992630266770e-01
1.016250000000000142e+01 8.251965608111719863e-01
1.018750000000000178e+01 8.296899342985863957e-01
1.021250000000000213e+01 8.340476495870687845e-01
1.023750000000000071e+01 8.382489450036922918e-01
1.026250000000000107e+01 8.422731745549448812e-01
1.028750000000000142e+01 8.460999171216071479e-01
1.031250000000000178e+01 8.497090868386731888e-01
1.033750000000000213e+01 8.530810438346805302e-01
1.036250000000000071e+01 8.561967044827912821e-01
1.038750000000000107e+01 8.590376503020813459e-01
1.041250000000000142e+01 8.615862346422707985e-01
1.043750000000000178e+01 8.638256862886627419e-01
1.046250000000000213e+01 8.657402091365435925e-01
1.048750000000000071e+01 8.673150771057549502e-01
1.051250000000000107e+01 8.685367234964144201e-01
1.053750000000000142e+01 8.693928240257008389e-01
1.056250000000000178e+01 8.698723728328381366e-01
1.058750000000000213e+01 8.699657507944833501e-01
1.061250000000000071e+01 8.696647855551467021e-01
1.063750000000000107e+01 8.689628027463084381e-01
1.066250000000000142e+01 8.678546679429141042e-01
1.068750000000000178e+01 8.663368189860333191e-01
