# t[Gyr], fraction_in_stars&remnants_thin.d
1.066250000000000142e+01 7.628717414573085165e-01
1.068750000000000178e+01 7.628742935464913888e-01
1.071250000000000213e+01 7.653537989476271175e-01
1.073750000000000071e+01 7.653564135956020253e-01
1.076250000000000107e+01 7.653590606230349369e-01
1.078750000000000142e+01 7.677801557479259076e-01
1.081250000000000178e+01 7.677828698638163862e-01
1.083750000000000213e+01 7.677856187441330915e-01
1.086250000000000071e+01 7.677884032414937776e-01
1.088750000000000107e+01 7.702963519222573163e-01
1.091250000000000142e+01 7.726066433860782068e-01
1.093750000000000178e+01 7.726095401693133802e-01
1.096250000000000213e+01 7.726124763070750801e-01
1.098750000000000071e+01 7.748702291165717737e-01
1.101250000000000107e+01 7.748732470764715385e-01
1.103750000000000142e+01 7.748763075855128468e-01
1.106250000000000178e+01 7.770833077734831118e-01
1.108750000000000213e+01 7.770864568770520231e-01
1.111250000000000071e+01 7.792443653378213764e-01
1.113750000000000107e+01 7.792476080191066412e-01
1.116250000000000142e+01 7.792508994885334328e-01
1.118750000000000178e+01 7.813613945921625836e-01
1.121250000000000213e+01 7.813647879236228500e-01
1.123750000000000071e+01 7.834924622575468733e-01
1.126250000000000107e+01 7.857178551423067425e-01
1.128750000000000142e+01 7.857214129450839080e-01
1.131250000000000178e+01 7.857250289699713175e-01
1.133750000000000213e+01 7.877626305800000672e-01
1.136250000000000071e+01 7.877663686257136977e-01
1.138750000000000107e+01 7.897610824590594047e-01
1.141250000000000142e+01 7.897649505615299548e-01
1.143750000000000178e+01 7.917181309267981026e-01
1.146250000000000213e+01 7.917221379257745051e-01
1.148750000000000071e+01 7.936350845067574600e-01
1.151250000000000107e+01 7.936392401554975828e-01
1.153750000000000142e+01 7.955455899261015817e-01
1.156250000000000178e+01 7.955499050203012068e-01
1.158750000000000213e+01 7.974178106982784398e-01
1.161250000000000071e+01 7.992483543015855840e-01
1.163750000000000107e+01 7.992529314680762997e-01
1.166250000000000142e+01 8.011912459992041047e-01
1.168750000000000178e+01 8.029504720731802658e-01
1.171250000000000213e+01 8.046755638940088495e-01
1.173750000000000071e+01 8.046805410442930961e-01
1.176250000000000107e+01 8.063726025678729092e-01
1.178750000000000142e+01 8.080324840312523849e-01
1.181250000000000178e+01 8.096611061221100636e-01
1.183750000000000213e+01 8.096665550117024823e-01
1.186250000000000071e+01 8.113273986938798199e-01
1.188750000000000107e+01 8.129575676871880763e-01
1.191250000000000142e+01 8.145579182181755806e-01
1.193750000000000178e+01 8.145639312968083745e-01
1.196250000000000213e+01 8.161354478418734182e-01
1.198750000000000249e+01 8.176787766286456316e-01
1.201250000000000107e+01 8.191946874481691454e-01
1.203750000000000142e+01 8.222095842772046970e-01
1.206250000000000178e+01 8.236473973395840309e-01
1.208750000000000213e+01 8.250606093126002794e-01
1.211250000000000249e+01 8.264498697034253771e-01
1.213750000000000107e+01 8.278158074517968368e-01
1.216250000000000142e+01 8.292121971548843673e-01
1.218750000000000178e+01 8.319281968465659372e-01
1.221250000000000213e+01 8.332570184340205577e-01
1.223750000000000249e+01 8.345645414992635125e-01
1.226250000000000107e+01 8.371085655173993167e-01
1.228750000000000142e+01 8.383550365196386078e-01
1.231250000000000178e+01 8.407807200388219826e-01
1.233750000000000213e+01 8.419705231894726305e-01
1.236250000000000249e+01 8.442861475400909033e-01
1.238750000000000107e+01 8.465324878608004866e-01
1.241250000000000142e+01 8.487126924762788960e-01
1.243750000000000178e+01 8.520567606460043297e-01
1.246250000000000213e+01 8.541877756516792486e-01
1.248750000000000249e+01 8.562593994179478196e-01
1.251250000000000107e+01 8.592538014486467146e-01
1.253750000000000142e+01 8.611875144401133220e-01
1.256250000000000178e+01 8.639850323940561072e-01
1.258750000000000213e+01 8.675411552008300831e-01
1.261250000000000249e+01 8.700944194930757547e-01
1.263750000000000107e+01 8.733461733631235901e-01
1.266250000000000142e+01 8.765074482212467100e-01
1.268750000000000178e+01 8.802729860602144241e-01
1.271250000000000213e+01 8.838251769749234654e-01
1.273750000000000249e+01 8.878262748817066230e-01
1.276250000000000107e+01 8.921751435138006725e-01
1.278750000000000142e+01 8.973468608339699726e-01
1.281250000000000178e+01 9.027110046965043377e-01
1.283750000000000213e+01 9.083775727815441847e-01
1.286250000000000249e+01 9.150568377767698269e-01
1.288750000000000107e+01 9.222703675965228109e-01
1.291250000000000142e+01 9.310218747433944841e-01
1.293750000000000178e+01 9.419258540758432829e-01
1.296250000000000213e+01 9.593147861302644408e-01
1.298750000000000249e+01 1.000000000000000000e+00
